昵称,性别,地区,评论
癫狂错误牢大,保密,江苏,"评论增加热度
1.上官正义揭发长沙代孕事件
2.黄杨钿甜全套首饰2000万事件
3.罗帅宇医生阻止器官交易死亡事件
4.上官正义揭发黑砖厂事件
5.景德镇车祸事件
6.黄梓澈事件
这些事情都挺恶劣的，而且好像真的形成了信息茧房，感觉大部分人都不清楚这些事。
不一定非要了解完所有事件，因为了解太多可能会对自己的心态造成一些影响，但只是帮忙传播一下也好，这些事件都很需要大家的关注。"
香港Mark哥,男,广东,华南理工大学Mark实名重修微积分刷分
麦当不纠结,男,山东,准备好了吗，2亿播放量合影
酱油味汉堡,男,天津,宋浩，伟大[保佑]
彩票酱,保密,河南,初中未毕业，40岁学生，前来报到！！！[惊喜]
FUCK2RHYME,保密,上海,破亿了！
无为我自知,男,河南,年年岁岁花相似，岁岁年年人不同
霜月十六夜KMnO4,男,北京,我是理论力学大王
霜月十六夜KMnO4,男,北京,理论力学可以看看我的视频，带你做题的，比较精短，应该会有帮助哦
霜月十六夜KMnO4,男,北京,有学理论力学或者日语的同学可以看看我的视频哦，带你做题的，视频也比较简短，可以关注三连支持一手嘛[初音未来_大笑][初音未来_大笑]
程序编写,保密,四川,高手QQ50821405
我是魔魔魔魔魔芋哒,保密,黑龙江,这里说Y比X更快的说法有问题吧，反过来怎么解释啊，感觉解释不了啊
一定要早睡哦w,女,福建,@妮妮早睡好困难 还想和你讲高数哈哈哈哈
小初生绵羊兄,男,江苏,1.9亿了[打call]一起来等待破2亿！！[吃瓜][打call]
琳曦禹,女,浙江,@小青龙我要烤冷面
老君不要笑,男,山西,@渐散_js 来学习
杏酱不吃花生酱,保密,浙江,准大一新生想问一下，如果我想提前预习高数内容，直接看这个视频就可以了吗？
zhangxy567,男,江苏,请问呀，为什么宋浩老师的课没有微分方程，我高斯后面看完没得看了[微笑][微笑][微笑]
氯化钡呐,保密,四川,自考的高等数学工本可以学这个吗？
何故自挂东南枝,男,河北,应该买第七版还是第八版
马尘胖月,保密,广东,奇延拓和偶延拓有讲吗
亦书旧枫,男,陕西,"高考结束只是起点。
如果你计划用暑假 提前啃透大学课程，甚至规划更远的竞赛/科研/双学位；
如果你需要一群 能彼此讲题、共享资源、坚持数年 的硬核伙伴；
加入『忒休斯』——一艘由持续行动者共同建造的船。坚"
芝士吱然卷,女,广东,即将见证2亿播放量[脱单doge][脱单doge]
KO趴趴牛,保密,河北,玉志
霜月十六夜KMnO4,男,北京,有学理论力学或者日语的同学可以看看我的视频哦，带你做题的，视频也比较简短，可以关注三连支持一手嘛[初音未来_大笑][初音未来_大笑]
霜月十六夜KMnO4,男,北京,我是理论力学大王
猎猫史莱姆喜欢鼬子,保密,河南,考古
小于zzq,保密,山西,留档和没留档有啥区别，看了没留档的还需要看留档的吗？
某化学书的超级氢原子,男,陕西,2025年6月19日，高考完实在没事干了[崩坏3·光辉矢愿_惊]
公输燕泉,保密,辽宁,学数理方法被打回来了[大哭]
芋泥儿儿,保密,北京,7.53的时候说这个地方大于1的时候b趋于0更快 这个大于1在说啥啊
热爱底万难,男,安徽,安徽理工大学Nopaben实名开学
荔枝味饺子,保密,上海,失眠来试试
祝你喝水塞牙缝,男,重庆,歪比巴卜
xbrkskxfn,保密,山东,六号就要考了[保卫萝卜_哭哭]
眼皮一直跳跳跳,保密,山东,问个冷门的小众问题：老师你在抖音的账号到底是哪个？[辣眼睛][辣眼睛]
祈玲雨b,保密,重庆,这节不学影响期末考试吗
鶴南风,男,天津,为啥到这就听不懂了[笑哭][笑哭]
嗶卡D_,男,山东,马上2亿了
神清气爽c,保密,河北,现在有人吃
神清气爽c,保密,河北,大学数学是主要就：高等数学 线性代数  微积分  概率论与数理统计。是这样吗
晚晚-_-玩玩-_-,保密,上海,19:42 @宋浩老师官方 这样做貌似更简单
gtygg,保密,内蒙古,求哪位uu可以讲解一下，为什么每次要将图形切平面？[笑哭][委屈][委屈][委屈][委屈]
霜月十六夜KMnO4,男,北京,我是理论力学大王
霜月十六夜KMnO4,男,北京,有学理论力学或者日语的同学可以看看我的视频哦，带你做题的，视频也比较简短，可以关注三连支持一手嘛[初音未来_大笑][初音未来_大笑]
SanderWang,男,安徽,下册从哪一集开始观看
羐鞷䵀驝鷉,保密,甘肃,马上考试了，来学了[脱单doge]
respectyoumother,保密,河北,@我是伟大的猫猫主 @单向通行Accelerator
moonrain,女,浙江,明天考试要完蛋了
一浊散千忧,女,湖南,明天考试。救我
晚思鱼鱼,保密,上海,留下你的校训，看看有没有同校的[脱单doge]
根号2i的自然对数,男,河北,2
美林牌退烧药,女,江苏,1
四月的风与你,保密,浙江,高考完来力
猫羽汐,保密,山东,高考完直接开学[脱单doge]
爱学习的小尚同学,男,广东,感谢伟大的宋老师！
bili_29570281326,保密,广东,老师，文科跨考统计，要学数三，也看微积分嘛？
渐渐再也不会,男,辽宁,高考完的衮出去玩，等到学的时候有的你看的，没必要现在看，去狠狠玩吧[doge][doge]
Terker_,保密,上海,高三毕业生报道
Tom猫喔,男,重庆,高三毕业生报道[doge]
菜菜崑,保密,山东,格林公式后面的部分没有吗，二元函数的全微分求积
小蚂蚁20220810,保密,北京,怎么感觉视频内容突然变了？昨天看的视频内容不是这个，老师是不是在后台改资源链接了？@宋浩老师官方
称霸三界-,男,河北,服务器崩了...
阿嗔Rt,保密,浙江,"每个考试周不得不品的一环
                        ☰ 按时间↗"
霜月十六夜KMnO4,男,北京,我是理论力学大王
离雨GCT,男,上海,感谢老师，我大一高数都过了
777柒琪777,保密,河南,我想知道宋老师没有微分方程那一节的课程吗，怎么找不到[委屈]
狗勾又有什么坏心思呢,女,北京,我不行了。
天才邦邦爱丽丝,保密,河南,高考完了，慕名而来
不是星辰呀,保密,湖北,还有19天考试，来看宋老师速通来了[doge][doge][doge]
东城男孩Eastlife,男,浙江,高考考完了
段誉817,男,湖南,宋老师我们喜欢你
Elegantの鹅小姐,保密,广西,麦克劳林展开要求在0处展开，即(x-0)，如果直接x-1替换x，相当于(x-1)，对1进行展开，答案不符
goumo514,女,河南,对称性是在那一节讲的啊[少前小剧场_呆]
b竟我4你88,保密,湖南,明天期末考试，还在看三重积分，有救吗[笑]
月胧怡,保密,河南,技巧已经有人搬运过来了，可以不去优酷了（doge），直接搜幂级数求和练习就行
青菜白玉汤10000,保密,广东,很好
宽-杰,男,吉林,专科的也要学习[笑哭](电子信息工程技术)
辞暮Fairy,保密,河南,考完高考了[doge]
力争荣誉,保密,山东,今天高考完来提前预习了[doge]
fight计划,保密,河南,⎛⎝≥⏝⏝≤⎛⎝
回头踩一蘑菇,保密,重庆,这个课 考军队文职可以听吗
每个双手合十的愿望里,女,广东,耶比耶比～25届高考生已经无聊到打算开始学高数了
究极c洛,保密,辽宁,@bili_73371594588
MadlyDeeply,男,广东,开始了
_小路tx,男,海南,定理6勒？？？？？？[蹲蹲]
不想动弹的海星,保密,福建,提前预习的高中生不好好玩来帮大学生考试吧[大哭]
无敌暴龙铃兰,保密,上海,请问一下，学这个需要准备什么教材和习题吗
想不出名字啊啊-_-,保密,北京,宋老师的课前半部分是同济第几版的教材呀，后面补充的新教材的有很大变动嘛[蹲蹲]
一念道友,保密,湖北,坐等破2亿
水中呀只鱼,男,四川,孩子们提前预习了[doge_金箍]
xiheh,保密,湖南,最后一周就找宋老师[doge_金箍]
二蛋偷偷看,保密,河南,bilibili大学荣誉高数老师[doge]
当尘埃遇到灯塔,男,江苏,请问配套教材是同济版《高等数学》第七版还是第八版
白and红矮星,男,湖北,昨天生物考完的集合[doge_金箍]
十二翼九爪金龙,男,重庆,失眠几个星期了，现在看看高数能不能救我
墨浣心尘_,保密,广东,刚考完高考就来看高等数学了
bili_74870787980,保密,四川,新版旧版有什么区别
吃喝玩乐x,男,陕西,同济版高数是真不讲nabla算子，jacobi矩阵这些东西啊[笑哭]
她の过客,保密,四川,看这么久才发现是我们学校的老师[doge][doge_金箍]
蒹葭_glemoa,保密,湖北,打卡
欲全知全能,保密,江苏,准大学生前来观摩
bili_87226539210,保密,湖北,https://www.bilibili.com/video/BV1Eb411u7Fw?t=84.1&p=91
菠萝屋的黄色洗碗棉,保密,江苏,"这部分考两个问题1.收敛域是什么
                              2.和函数是什么"
-晚枫4,保密,湖北,汪子涵别卷了
风物雅致,保密,湖南,应该是118分钟吧138分钟都两个多小时了@宋浩老师官方
TA摇起来了,男,山西,高三生爱看
敝月,保密,上海,考完高考了，，好像考砸了。唉，先学吧。
段誉817,男,湖南,back to back[呲牙]
孜然炒茄子,保密,广东,[热词系列_镇站之宝]
雨下一整夜in,男,陕西,学完喽[惊喜][惊喜][惊喜][惊喜][惊喜]
嗯在学习么,女,山东,最后那个题为啥要x8
曌天曌葵,女,湖北,睡不着男朋友让我看高数的课，结果老师讲得太好让我开始回忆高中知识[大哭]（早已毕业大学没学高数）
阿辽砂,保密,黑龙江,时隔一个学期我又来了
酷酷史莱姆,保密,河北,是不是该写成z = 1 - y呀
做大做强yeah,保密,河南,这里是在哪里找呀整理的东西求[大哭][大哭][脱单doge]
凛小姐的servant,保密,山东,求大佬们解释一下为什么空间曲线某一点的切线只有一条呀，在老师9.12那一节里面，可是我画图看着感觉有无数条呀[笑哭]
是德福,保密,山东,学习学习
玖柒怡,保密,江西,大学四年最喜欢的老师
初舞_月白,保密,广东,2E♿️♿️♿️♿️♿️♿️
